label,conductor,delta,rank,a_invariants_raw
267b1,267,-11493474507,0,"[0, -1, 1, -441, 6419]"
268a1,268,-17152,0,"[0, -1, 0, 3, -7]"
269a1,269,269,1,"[0, 0, 1, -2, -1]"
270a1,270,-196830,0,"[1, -1, 0, -15, 35]"
270b1,270,-4423680,0,"[1, -1, 1, 7, -103]"
270c1,270,-270,0,"[1, -1, 1, -2, -1]"
270d1,270,-108000,0,"[1, -1, 0, -159, 813]"
272a1,272,17408,1,"[0, 1, 0, -8, 4]"
272b1,272,69632,1,"[0, 0, 0, -11, -6]"
272c1,272,4352,0,"[0, -1, 0, -4, 0]"
272d1,272,4456448,0,"[0, -1, 0, -48, -64]"
273a1,273,-361179,1,"[0, -1, 1, -26, 68]"
273b1,273,-1.1871E+13,0,"[0, 1, 1, 2540, -157433]"
274a1,274,-17536,1,"[1, 0, 0, -7, 9]"
274b1,274,-280576,1,"[1, -1, 0, -2846, 59156]"
274c1,274,548,1,"[1, -1, 0, -2, 0]"
275a1,275,-859375,1,"[1, -1, 1, 20, 22]"
275b1,275,-171875,0,"[0, 1, 1, -8, 19]"
277a1,277,-277,1,"[1, 0, 1, 0, -1]"
278a1,278,-35584,1,"[1, 0, 0, -1, 9]"
278b1,278,-11000295424,0,"[1, 0, 1, -537, 6908]"
280a1,280,-8960,1,"[0, -1, 0, -1, 5]"
280b1,280,-274400000,1,"[0, 0, 0, -412, 3316]"
282a1,282,-15593472,0,"[1, 1, 1, 58, -61]"
282b1,282,-108288,1,"[1, 1, 1, -15, 21]"
285a1,285,-438615,1,"[1, 0, 0, 19, 0]"
285b1,285,-135375,1,"[1, 1, 0, 2, -17]"
285c1,285,-15582375,0,"[1, 1, 0, 23, -176]"
286a1,286,-773344,0,"[1, 0, 1, -7, 42]"
286b1,286,-12886016,1,"[1, 1, 1, 13, 177]"
286c1,286,-12584,1,"[1, 1, 0, -33, 61]"
286d1,286,-1437646496,0,"[1, 1, 1, 280, 393]"
2860,286,-16749304,0,"[1, 1, 1, -66, -313]"
286f1,286,-286,0,"[1, 1, 1, 0, -1]"
288a1,288,-1728,1,"[0, 0, 0, 3, 0]"
288b1,288,419904,1,"[0, 0, 0, -21, -20]"
288c1,288,419904,0,"[0, 0, 0, -21, 20]"
288d1,288,46656,0,"[0, 0, 0, -9, 0]"
2880,288,-1259712,0,"[0, 0, 0, 27, 0]"
289a1,289,410338673,1,"[1, -1, 1, -199, 510]"
290a1,290,928000,1,"[1, -1, 0, -70, -204]"
291a1,291,-9.13189E+12,0,"[0, -1, 1, -2174, 151262]"
291b1,291,61732449,0,"[1, 1, 1, -169, 686]"
291c1,291,873,1,"[1, 1, 1, -3, 0]"
291d1,291,-291,0,"[0, -1, 1, 0, -1]"
294a1,294,-34588806,0,"[1, 1, 1, -50, 293]"
294b1,294,-294,0,"[1, 0, 0, -1, -1]"
294c1,294,-1897443072,0,"[1, 0, 0, -197, -2367]"
294d1,294,-2074464,0,"[1, 0, 1, 23, -52]"
2940,294,-2.44059E+11,0,"[1, 1, 0, 1151, 18901]"
294f1,294,-52298274672,0,"[1, 1, 0, 122, -10940]"
294g1,294,-444528,1,"[1, 0, 1, 2, 32]"
296a1,296,9472,1,"[0, -1, 0, -9, 13]"
296b1,296,9472,1,"[0, -1, 0, -33, 85]"
297a1,297,-2381643,1,"[0, 0, 1, -81, 290]"
297b1,297,-297,1,"[1, -1, 1, 1, 0]"
297c1,297,-216513,1,"[1, -1, 0, 12, -19]"
297d1,297,-3267,0,"[0, 0, 1, -9, -11]"
298a1,298,-76288,1,"[1, 0, 0, -19, 33]"
298b1,298,-298,1,"[1, -1, 0, 1, -1]"
300a1,300,-172800,0,"[0, -1, 0, -13, -23]"
300b1,300,-2700000000,0,"[0, 1, 0, -333, -3537]"
300c1,300,281250000,0,"[0, 1, 0, -333, 2088]"
300d1,300,18000,1,"[0, -1, 0, -13, 22]"
302a1,302,-4947968,1,"[1, 1, 1, -230, 1251]"
302b1,302,-9664,0,"[1, 1, 0, 1, 5]"
302c1,302,-4832,1,"[1, -1, 1, 0, 3]"
303a1,303,483079869,1,"[0, 1, 1, -197, -208]"
303b1,303,8181,1,"[0, 1, 1, -6, 2]"
304a1,304,-2490368,1,"[0, 1, 0, 0, -76]"
304b1,304,-622592,0,"[0, -1, 0, -248, -1424]"
304c1,304,-38912,1,"[0, -1, 0, -8, 16]"
304d1,304,-4864,0,"[0, -1, 0, -1, -3]"
3040,304,-77824,0,"[0, -1, 0, 11, -3]"
304f1,304,-4864,1,"[0, 1, 0, -21, 31]"
306a1,306,578207808,0,"[1, -1, 1, -2300, -41857]"
306b1,306,793152,1,"[1, -1, 0, -27, -27]"
306c1,306,256981248,0,"[1, -1, 0, -306, -1836]"
306d1,306,446148,0,"[1, -1, 1, -23, -21]"
307a1,307,-307,0,"[0, 0, 1, -8, -9]"
307b1,307,-307,0,"[1, 1, 0, 0, -1]"
307c1,307,-307,0,"[0, 0, 1, 1, -1]"
307d1,307,-307,0,"[0, -1, 1, 2, -1]"
308a1,308,-137984,1,"[0, -1, 0, -21, 49]"
309a1,309,-25029,1,"[1, 0, 0, -6, 9]"
310a1,310,-1240000,0,"[1, 1, 1, -66, -241]"
310b1,310,-3174400,1,"[1, 0, 0, -106, 420]"
312a1,312,-8112,0,"[0, 1, 0, -3, -6]"
312b1,312,1872,1,"[0, -1, 0, -3, 0]"
312c1,312,16848,0,"[0, 1, 0, -7, 2]"
312d1,312,1872,0,"[0, -1, 0, -39, 108]"
3120,312,2075690448,0,"[0, -1, 0, -651, 6228]"
312f1,312,-73008,1,"[0, 1, 0, 5, 14]"
314a1,314,-160768,1,"[1, -1, 0, 13, -11]"
315a1,315,-25515,0,"[0, 0, 1, -12, -18]"
315b1,315,76545,1,"[1, -1, 1, -23, -34]"
316a1,316,20224,0,"[0, -1, 0, -180, -872]"
316b1,316,20224,1,"[0, 0, 0, -7, -2]"
318a1,318,-25758,0,"[1, 1, 1, 2, -7]"
318b1,318,-11448,0,"[1, 0, 1, -61, 176]"
318c1,318,-77274,1,"[1, 1, 0, 7, -9]"
318d1,318,-976896,1,"[1, 1, 1, -12, 45]"
3180,318,-187564032,0,"[1, 1, 0, 142, 180]"
319a1,319,-9251,0,"[0, 0, 1, -37, -87]"
320a1,320,5120,0,"[0, 0, 0, -8, -8]"
320b1,320,5120,1,"[0, 0, 0, -8, 8]"
320c1,320,5120,0,"[0, -1, 0, -5, 5]"
320d1,320,-1600,0,"[0, -1, 0, 0, 2]"
3200,320,-1600,0,"[0, 1, 0, 0, -2]"
320f1,320,5120,1,"[0, 1, 0, -5, -5]"
322a1,322,-725788,1,"[1, -1, 0, -8, 44]"
322b1,322,-60669952,0,"[1, 1, 0, 35, 381]"
322c1,322,644,0,"[1, 1, 1, -4, 1]"
322d1,322,164864,1,"[1, 0, 0, -14, 4]"
323a1,323,-26977283,0,"[0, 0, 1, -46, 277]"
324a1,324,1296,0,"[0, 0, 0, -21, 37]"
324b1,324,-186624,0,"[0, 0, 0, 9, -18]"
324c1,324,11664,1,"[0, 0, 0, -9, 9]"
324d1,324,-20736,0,"[0, 0, 0, -39, 94]"
325a1,325,5078125,1,"[0, 1, 1, -83, 244]"
325b1,325,325,1,"[0, -1, 1, -3, 3]"
325c1,325,1015625,0,"[1, 1, 0, -25, 0]"
325d1,325,8125,0,"[0, 1, 1, -508, -4581]"
3250,325,9282325,0,"[0, -1, 1, -98, 378]"
326a1,326,83456,1,"[1, -1, 0, -80, -256]"
326b1,326,5216,1,"[1, 0, 0, -6, 4]"
326c1,326,2217342464,0,"[1, 0, 1, -355, 1182]"
327a1,327,-8829,1,"[1, 0, 0, 4, -3]"
328a1,328,41984,1,"[0, 0, 0, -11, -10]"
328b1,328,10496,0,"[0, -1, 0, -12, 20]"
329a1,329,-1896619529,0,"[1, 1, 1, 246, -1376]"
330a1,330,1069200,0,"[1, 1, 0, -1393, -20603]"
330b1,330,-126720,0,"[1, 0, 0, 5, 17]"
330c1,330,-1070530560,0,"[1, 1, 1, 255, 255]"
330d1,330,4.48455E+14,0,"[1, 1, 1, -40266, 2921559]"
3300,330,211200,1,"[1, 1, 0, -22, -44]"
331a1,331,-331,1,"[1, 0, 0, -5, 4]"
333a1,333,26973,1,"[0, 0, 1, -30, -63]"
333b1,333,-728271,1,"[1, -1, 0, 12, 35]"
333c1,333,-999,1,"[1, -1, 1, 1, -2]"
333d1,333,26973,0,"[0, 0, 1, -9, -7]"
334a1,334,-334,0,"[1, -1, 1, -1, -1]"
335a1,335,-1675,1,"[0, 0, 1, -2, 2]"
336a1,336,-21168,0,"[0, -1, 0, 7, 0]"
336b1,336,336,0,"[0, -1, 0, -7, 10]"
336c1,336,-1037232,0,"[0, 1, 0, -7, -52]"
336d1,336,-66060288,0,"[0, 1, 0, -64, -460]"
3360,336,-258048,1,"[0, -1, 0, 16, 0]"
336f1,336,-2352,0,"[0, 1, 0, -1, 2]"
338a1,338,-676,1,"[1, -1, 0, 1, 1]"
338b1,338,-3262922884,0,"[1, -1, 1, 137, 2643]"
338c1,338,-125497034,0,"[1, 0, 0, 81, 467]"
338d1,338,-84835994984,0,"[1, 1, 0, 504, -13112]"
3380,338,-17576,1,"[1, 1, 1, 3, -5]"
338f1,338,-8031810176,1,"[1, -1, 0, -454, 5812]"
339a1,339,-2224179,1,"[0, 1, 1, -441, 3422]"
339b1,339,-2224179,0,"[0, -1, 1, -112, 501]"
339c1,339,-3051,1,"[0, 1, 1, -2, 2]"
340a1,340,1360,1,"[0, 0, 0, -28, 57]"
342a1,342,-110808,0,"[1, -1, 1, -140, -601]"
342b1,342,13463172,0,"[1, -1, 1, -860, 9915]"
342c1,342,23934528,1,"[1, -1, 0, -72, 0]"
342d1,342,1495908,0,"[1, -1, 1, -29, 1]"
3420,342,2052,1,"[1, -1, 0, -3, 1]"
342f1,342,3.92143E+11,0,"[1, -1, 0, -3168, 62464]"
342g1,342,-443232,0,"[1, -1, 0, 0, -32]"
344a1,344,-11008,1,"[0, 0, 0, 4, 4]"
345a1,345,-646875,0,"[0, -1, 1, -731, -7369]"
