delta,conductor,rank,regulator,real_period,torsion_order,label,x_ptd,y_ptd,z_ptd,x_mcj,y_mcj,z_mcj
26000.0,130,1,,,,130a1,84696713686.83252,500000.0,0.0,362524085834.70276,500000.0,0.5
16640.0,130,0,,,,130b1,78930209934.85617,500000.0,0.0,362524085834.70276,500000.0,0.5
10400000.0,130,0,,,,130c1,162112804331.7321,500000.0,0.0,362524085834.70276,500000.0,0.5
-131.0,131,1,,,,131a1,16335833864.759966,500000.0,0.0,363648936769.239,500000.0,0.5
-1584.0,132,0,,,,132a1,48541728647.625,500000.0,0.0,364765233621.5108,500000.0,0.5
-10392624.0,132,0,,,,132b1,162103637065.0704,500000.0,0.0,364765233621.5108,500000.0,0.5
-6075.0,135,1,,,,135a1,65910592261.18346,500000.0,0.0,368064076463.64246,500000.0,0.5
-4428675.0,135,0,,,,135b1,151082023574.26752,500000.0,0.0,368064076463.64246,500000.0,0.5
4352.0,136,1,,,,136a1,61600817196.73553,500000.0,0.0,369147419599.6105,500000.0,0.5
17408.0,136,0,,,,136b1,79513213919.96632,500000.0,0.0,369147419599.6105,500000.0,0.5
-828.0,138,1,,,,138a1,40159894308.937904,500000.0,0.0,371290411362.2607,500000.0,0.5
-268272.0,138,0,,,,138b1,114853245240.8914,500000.0,0.0,371290411362.2607,500000.0,0.5
-3312.0,138,0,,,,138c1,58072291032.1687,500000.0,0.0,371290411362.2607,500000.0,0.5
-139.0,139,0,,,,139a1,17101750673.80503,500000.0,0.0,372350288375.781,500000.0,0.5
-224000.0,140,0,,,,140a1,112522862545.82758,500000.0,0.0,373402567639.31104,500000.0,0.5
-21512960.0,140,0,,,,140b1,171504475561.01065,500000.0,0.0,373402567639.31104,500000.0,0.5
102789.0,141,1,,,,141a1,102457771739.94931,500000.0,0.0,374447357307.25464,500000.0,0.5
-34263.0,141,0,,,,141b1,88262533187.76863,500000.0,0.0,374447357307.25464,500000.0,0.5
-3807.0,141,0,,,,141c1,59872056083.40729,500000.0,0.0,374447357307.25464,500000.0,0.5
